(movie_id, user_id), (rating, prediction)
(886, 49878), (2.0, 3.054159212899031)
(191, 1073963), (4.0, 4.867864289744139) 
(1110, 2329131), (5.0, 4.221726652145688) 
(201, 1409827), (3.0, 3.042277614339752) 
(252, 1671377), (3.0, 3.1617562924047173) 
(313, 1254929), (4.0, 4.270356492102396) 
(571, 1761525), (5.0, 5.141028821652699) 
(191, 80014), (5.0, 4.936915995804874) 
(708, 440979), (3.0, 3.034375306654689) 
(483, 879870), (3.0, 3.017187930455349) 
(1470, 2305834), (3.0, 3.1733661045828274) 
(1134, 1110688), (4.0, 4.366068165000171) 
(631, 173306), (3.0, 3.277063496625903) 
(457, 1452581), (5.0, 5.207657952974149) 
(940, 2059005), (2.0, 1.7797045951138752) 
(1470, 2098404), (1.0, 2.032693596445234) 
(1073, 251120), (4.0, 4.057423511414425) 
(1314, 1071918), (4.0, 3.9760638347909096) 
(334, 1651542), (4.0, 4.055374770072294) 
(1050, 46133), (3.0, 2.9055344708934507) 
(900, 1178458), (2.0, 1.9478176532795297) 
(1144, 1996091), (5.0, 4.9710505943037875) 
(886, 175194), (4.0, 4.4172654740977535) 
(571, 979244), (5.0, 4.235953796122151) 
(1466, 390556), (4.0, 4.029348464206488)
